trade_id,coin,type,timeframe,entry_price,exit_price,profit,profit_percentage,entry_time,exit_time,tp1_time,tp2_time,tp3_time
#4,XMR,long,1d,159.3788720480098,156.71966751271623,-1.6684799566736477,-1.6684799566736477,11/29/2024 00:00,11/29/2024 13:00,,,
#3,FTM,short,1h,1.0243652708405018,1.0243652708405018,0.0,0.0,11/29/2024 13:00,11/29/2024 13:00,,,
#7,QNT,short,1h,93.87600498390336,93.87600498390336,0.0,0.0,11/29/2024 13:00,11/29/2024 13:00,,,
#8,__MOG,short,1h,2.4188584669898395e-06,2.4188584669898395e-06,0.0,0.0,11/29/2024 13:00,11/29/2024 13:00,,,
#5,OKB,short,1h,52.90765549626086,53.19137630790207,-0.5362566323908671,-0.5362566323908671,11/29/2024 13:00,11/29/2024 14:00,,,
#10,XMR,long,1h,157.61776308500654,157.61776308500654,0.0,0.0,11/29/2024 14:00,11/29/2024 14:00,,,
#16,LINK,long,1h,18.27276243565281,18.10425961763553,-0.9221529509326257,-0.9221529509326257,11/29/2024 15:00,11/29/2024 16:00,,,
#17,ARB,long,1h,0.9360440799024762,0.92851374939942,-0.804484603314915,-0.804484603314915,11/29/2024 15:00,11/29/2024 16:00,,,
#11,LDO,long,1h,1.7420008172359074,1.7227865830536688,-1.1029980004674418,-1.1029980004674418,11/29/2024 14:00,11/29/2024 16:00,,,
#27,FTM,short,1h,1.02955406970462,1.02955406970462,0.0,0.0,11/29/2024 17:00,11/29/2024 17:00,,,
#12,SEI,long,1h,0.662550456375462,0.6621950312048429,0.40098302811817677,0.40098302811817677,11/29/2024 14:00,11/29/2024 17:00,11/29/2024 16:00,,
#19,HNT,long,1h,6.618341081691022,6.5356769516262725,-0.3944192278903479,-0.3944192278903479,11/29/2024 15:00,11/29/2024 17:00,11/29/2024 16:00,,
#2,UNI,long,1h,12.736280243561277,12.702277455215283,0.21461773850535254,0.21461773850535254,11/29/2024 12:00,11/29/2024 18:00,11/29/2024 15:00,,
#31,WBT,short,1h,23.509188784149657,23.509188784149657,0.0,0.0,11/29/2024 18:00,11/29/2024 18:00,,,
#18,OP,long,1h,2.387979418210261,2.368937082998468,-0.7974245953118403,-0.7974245953118403,11/29/2024 15:00,11/29/2024 18:00,,,
#28,LDO,long,1h,1.7455090638643116,1.7311164292060277,-0.8245522728149357,-0.8245522728149357,11/29/2024 17:00,11/29/2024 18:00,,,
#22,MATIC,long,1h,0.5498491776675377,0.5449804819835917,-0.8854602101250773,-0.8854602101250773,11/29/2024 16:00,11/29/2024 18:00,,,
#15,XDC,long,1h,0.057360088537399254,0.058396638149925226,1.0541370420757137,1.0541370420757137,11/29/2024 14:00,11/29/2024 18:00,11/29/2024 15:00,11/29/2024 17:00,11/29/2024 18:00
#20,GNO,long,1h,268.63590609308335,266.4344913503498,-0.8194789649492212,-0.8194789649492212,11/29/2024 15:00,11/29/2024 18:00,,,
#30,_SUI,long,1h,3.5195359434831275,3.4947618504704514,-0.7039022590051536,-0.7039022590051536,11/29/2024 18:00,11/29/2024 19:00,,,
#13,QNT,long,1h,94.68490444236362,95.35949962245054,0.922107968495584,0.922107968495584,11/29/2024 14:00,11/29/2024 19:00,11/29/2024 16:00,11/29/2024 18:00,
#36,__MOG,short,1h,2.4351596367787097e-06,2.4351596367787097e-06,0.0,0.0,11/29/2024 19:00,11/29/2024 19:00,,,
#35,HNT,long,1h,6.570661842334394,6.538730302558516,-0.48597143700417544,-0.48597143700417544,11/29/2024 19:00,11/29/2024 20:00,,,
